"FECHA,""Tipo de cambio - TC Interbancario (S/ por US$) - Venta"""
03Mar00,3.3941
06Mar00,3.4117
07Mar00,3.4093
08Mar00,3.3989
09Mar00,3.4043
10Mar00,3.4207
13Mar00,3.4243
14Mar00,3.4163
15Mar00,3.4245
16Mar00,3.4375
17Mar00,3.4341
20Mar00,3.4498
21Mar00,3.4559
22Mar00,3.4713
23Mar00,3.4925
24Mar00,3.5094
27Mar00,3.5095
28Mar00,3.4748
29Mar00,3.475
30Mar00,3.4918
31Mar00,3.4891
03Abr00,3.4734
04Abr00,3.4778
05Abr00,3.4763
06Abr00,3.4913
07Abr00,3.5092
10Abr00,3.4853
11Abr00,3.4855
12Abr00,3.4843
13Abr00,3.4619
14Abr00,3.4699
17Abr00,3.4754
18Abr00,3.4746
19Abr00,3.4685
20Abr00,n.d.
21Abr00,n.d.
24Abr00,3.4828
25Abr00,3.4779
26Abr00,3.4877
27Abr00,3.4828
28Abr00,3.4786
01May00,n.d.
02May00,3.4779
03May00,3.4873
04May00,3.489
05May00,3.4929
08May00,3.5039
09May00,3.5068
10May00,3.5145
11May00,3.4996
12May00,3.4987
15May00,3.504
16May00,3.5038
17May00,3.5038
18May00,3.5027
19May00,3.5106
22May00,3.5151
23May00,3.519
24May00,3.5109
25May00,3.512
26May00,3.5252
29May00,3.5103
30May00,3.5174
31May00,3.5051
01Jun00,3.4883
02Jun00,3.49
05Jun00,3.4883
06Jun00,3.4877
07Jun00,3.4868
08Jun00,3.4843
09Jun00,3.4805
12Jun00,3.481
13Jun00,3.4861
14Jun00,3.4816
15Jun00,3.4796
16Jun00,3.4788
19Jun00,3.4837
20Jun00,3.4885
21Jun00,3.4903
22Jun00,3.4928
23Jun00,3.4946
26Jun00,3.4989
27Jun00,3.4975
28Jun00,3.4908
29Jun00,n.d.
30Jun00,3.4893
03Jul00,3.4847
04Jul00,3.4839
05Jul00,3.4874
06Jul00,3.4848
07Jul00,3.483
10Jul00,3.4808
11Jul00,3.4791
12Jul00,3.4807
13Jul00,3.4837
14Jul00,3.4787
17Jul00,3.4784
18Jul00,3.4793
19Jul00,3.4827
20Jul00,3.4808
21Jul00,3.482
24Jul00,3.481
25Jul00,3.4784
26Jul00,3.4749
27Jul00,3.4743
28Jul00,n.d.
31Jul00,3.4728
01Ago00,3.4738
02Ago00,3.4813
03Ago00,3.4802
04Ago00,3.4844
07Ago00,3.4855
08Ago00,3.4795
09Ago00,3.4813
10Ago00,3.4813
11Ago00,3.4866
14Ago00,3.4855
15Ago00,3.4763
16Ago00,3.4754
17Ago00,3.4701
18Ago00,3.4708
21Ago00,3.4774
22Ago00,3.4757
23Ago00,3.4765
24Ago00,3.4782
25Ago00,3.4768
28Ago00,3.475
29Ago00,3.475
30Ago00,n.d.
31Ago00,3.4728
01Set00,3.4713
04Set00,3.4722
05Set00,3.4746
06Set00,3.4724
07Set00,3.4723
08Set00,3.4753
11Set00,3.4725
12Set00,3.4713
13Set00,3.4726
14Set00,3.4711
15Set00,3.4743
18Set00,3.5009
19Set00,3.4991
20Set00,3.5137
21Set00,3.4905
22Set00,3.4903
25Set00,3.4872
26Set00,3.4908
27Set00,3.498
28Set00,3.5217
29Set00,3.5106
02Oct00,3.4947
03Oct00,3.495
04Oct00,3.4993
05Oct00,3.5043
06Oct00,3.5029
09Oct00,3.5
10Oct00,3.5001
11Oct00,3.5023
12Oct00,3.4958
13Oct00,3.4919
16Oct00,3.4875
17Oct00,3.4919
18Oct00,3.497
19Oct00,3.4911
20Oct00,3.4939
23Oct00,3.5038
24Oct00,3.5105
25Oct00,3.51
26Oct00,3.5092
27Oct00,3.515
30Oct00,3.5214
31Oct00,3.5128
01Nov00,n.d.
02Nov00,3.5051
03Nov00,3.508
06Nov00,3.5165
07Nov00,3.5251
08Nov00,3.5258
09Nov00,3.538
10Nov00,3.5288
13Nov00,3.5356
14Nov00,3.5363
15Nov00,3.5273
16Nov00,3.5338
17Nov00,3.5368
20Nov00,3.5501
21Nov00,3.5442
22Nov00,3.5389
23Nov00,3.529
24Nov00,3.5285
27Nov00,3.5291
28Nov00,3.534
29Nov00,3.5315
30Nov00,3.5294
01Dic00,3.5275
04Dic00,3.53
05Dic00,3.5259
06Dic00,3.5265
07Dic00,3.5244
08Dic00,n.d.
11Dic00,3.5244
12Dic00,3.5252
13Dic00,3.5234
14Dic00,3.5182
15Dic00,3.5043
18Dic00,3.5044
19Dic00,3.503
20Dic00,3.5043
21Dic00,3.5144
22Dic00,3.5119
25Dic00,n.d.
26Dic00,3.5187
27Dic00,3.5339
28Dic00,3.5349
29Dic00,3.5263
01Ene01,n.d.
02Ene01,3.5204
03Ene01,3.5226
04Ene01,3.5188
05Ene01,3.5178
08Ene01,3.5165
09Ene01,3.5179
10Ene01,3.5186
11Ene01,3.5164
12Ene01,3.5201
15Ene01,3.5211
16Ene01,3.5206
17Ene01,3.5184
18Ene01,3.5199
19Ene01,3.5209
22Ene01,3.5238
23Ene01,3.5276
24Ene01,3.5312
25Ene01,3.5278
26Ene01,3.5328
